video_id,title,publishedAt,channelId,channelTitle,categoryId,description,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
"L7a1JSeqaXk","Official Trailer: Pati Patni Aur Woh | Kartik Aaryan, Bhumi Pednekar, Ananya Panday |Releasing 6 Dec","2019-11-04T07:13:56.000Z","UCq-Fj5jknLsUf-MWSy4_brA","T-Series","24","Gulshan Kumar & B.R.Chopra Present A T-Series Film In Association With B.R. Studios,  Presenting the official trailer of the upcoming Bollywood movie Pati Patni Aur Woh  romantic comedy film Directed By Mudassar Aziz and Produced By Bhushan Kumar, Renu Ravi Chopra, Krishan Kumar. The film is a remake of the 1978 film of the same name and is starring Kartik Aaryan, Bhumi Pednekar and Ananya Panday in lead roles along with Aparshakti Khurrana in supporting role.🎬 MOVIE Releasing On 6 December 2019#PatiPatniAurWohTrailer Directed By Mudassar AzizProduced By Bhushan Kumar, Renu Ravi Chopra, Krishan KumarCreative Producer: Juno ChopraDop: Chirantan DasCo-Producer (T-Series): Vinod Bhanushali  President Global Digital Business And Legal (T-Series): Neeraj Kalyan  Senior Vice President Films (T-Series:) Shiv Chanana  Screenplay & Dialogues: Mudassar AzizAdaptation Of Orignal Script: Jasmeet K Reen  Editor Ninad Khanolkar  Costume Designer Niharika Bhasin  Sound Designer Arun Nambiar  Production Design Tariq Umar Khan___________________________________Enjoy & stay connected with us!👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube👉  Like us on Facebook: https://www.facebook.com/tseriesmusic👉Follow us on Twitter: https://twitter.com/tseries👉 Follow us on Instagram: http://bit.ly/InstagramTseries","19.04.11","Pati patni aur woh Trailer-Kartik Aryan-Bhumi Pednekar-pati patni aur woh trailer 2019 kartik aaryan-pati patni aur woh trailer kartik-pati patni aur woh trailer song-pati patni aur woh movie trailer-pati patni aur woh-pati patni aur woh trailer 2019-pati patni aur woh kartik-bhumi pednekar-pati patni aur woh official trailer-ananya pandey-kartik aaryan-kartik aryan-pati patni aur woh 2019-kartik aaryan new movie-ananya","8102128","424118","15682","15853","https://i.ytimg.com/vi/L7a1JSeqaXk/default.jpg","False","False"
"c9PsmmjK5t4","KALLA CHANGA  : Ninja | Jaani | B Praak | Sukh Sanghera | New Punjabi Song 2019 | Punjabi Sad Songs","2019-11-02T04:29:19.000Z","UCopY0NAzASqmD6eVaRj2TFQ","White Hill Music","10","Ninja is back with bang with his new Punjabi song Kalla Changa lyrics by Jaani music given by B Praak and video directed by Sukh Sanghera. Produced by Gunbir Singh Sidhu & Manmord SidhuCreate Tiktok videos on below given links to get Feature : ★ http://vm.tiktok.com/mrUuCQ/★ http://vm.tiktok.com/mrUuCQ/Credits : Song : Kalla ChangaSinger : NinjaLyrics : JaaniMusic : B PraakVideo by : Sukh SangheraEditor : Sadik Ali ShaikhDI : After StudioPresentation : Umesh KarmawalaProduced by Gunbir Singh Sidhu & Manmord SidhuOnline Promotion: Kixtix MediaSubscribe us on :-YouTube : http://bit.ly/SubscribeWhiteHillMusicFacebook : -White Hill Music : https://www.facebook.com/whitehillmusicWhite Hill Studios : https://www.facebook.com/whitehillstudiosofficial  Twitter : https://twitter.com/whitehillproducInstagram : https://www.instagram.com/whitehillmusic/Website : https://www.whitehillstudios.comAlso Available on :- ►Get this track from leading audio stores (Apple Music, iTunes, Amazon Music, Spotify) : https://backl.ink/85409883►YouTube Music : https://music.youtube.com/watch?v=sbV-2HqM4Kw&feature=share►JioSaavn : https://www.jiosaavn.com/song/kalla-changa/PCM0BBZiBmU►Gaana : http://bit.ly/335pAsX►Wynk : http://bit.ly/2JEq8y6►Google Play : https://play.google.com/store/music/album?id=Byt4sq5haifwaevpgcfgolblal4&tid=song-T3tk3w6hs773iu3lrhziw47ag64►Hungama : https://www.hungama.com/album/kalla-changa/49980724/Operator Codes : ● Airtel : Airtel Subscribers Direct Dial 5432117271484 to Set as Hello tune ● Airtel Hellotune Link : https://www.airtelhellotunes.in/single/index/vcode/009172700001484● Vodafone : Vodafone Subscribers for Caller Tune Direct Dial 53711697036● Idea : Idea Subscribers for Dialer Tone Direct Dial 53711697036● BSNL (N & W) Direct Dial : BSNL (N & W) Subscribers Direct Dial 567007329037 to set BSNL Tune● BSNL (E & S) Direct Dial : BSNL (E & S) Subscribers Direct Dial 5670011697036 to set BSNL TunePublished Year : 2019Copyright : White Hill Music & Entertainment Private LimitedF-545,1st Floor,Phase -8A Industrial Area,Mohali - 160059","19.04.11","ninja-jaani-ninja new song-ninja kalla changa-kalla changa-kalla changa ninja-b praak-kalla changa punjabi song-punjabi videos-punjabi songs-new punjabi songs-latest punjabi songs-ninja songs-jaani ve-jaani songs-b praak songs","10289411","357016","9854","12950","https://i.ytimg.com/vi/c9PsmmjK5t4/default.jpg","False","False"
"NCQlOXoc2v8","Meri Galti (Full Video) - Ambili Menon Ft. Hasnain & Ashnoor Kaur | United White Flag","2019-11-03T07:30:15.000Z","UCgGG-8Q2nPHPMyrzi8PQ-Tw","United White Flag","10","Click to Subscribe - http://bit.ly/UnitedWhiteFlagYTSong : Meri Galti (Full Video)Singer / Music : Ambili MenonLyrics : Kunaal Vermaa Music Producer : Aditya Dev Mix and Master : Aditya DevRecorded at Aditya Dev Studio, Mumbai Video Director : United White Flag Styling : Dharti GulatiDop: Rahul Arora Editor: Varun AroraDrone: Tanish Arora Makeup & Hair : Raj KingChoreographer: Amit SyalCasting : Ashnoor Kaur : CelebistaanPost production - Uwf Studios Publicity Design - F1 DigitalsProduced by Qyuki Digital MediaListen & Download on:JioSaavn: https://www.jiosaavn.com/song/meri-galti/BR88SQJnA0kGaana: https://gaana.com/album/meri-galtiApple Music: https://music.apple.com/in/album/meri-galti-feat-ashnoor-hasnain/1485407928?i=1485407936Spotify: https://open.spotify.com/album/23TBQ6HVxavzMkHjL1K45LAmazon music: https://music.amazon.in/albums/B07ZQL1DX7Google play music: https://play.google.com/store/music/album/Ambili_Menon_Meri_Galti?id=Bzkrwwflcfqkvay43gvzgqo44piFollow United White Flag on :YouTube : http://bit.ly/UnitedWhiteFlagYTInstagram : https://www.instagram.com/UnitedWhiteFlagFacebook : https://www.facebook.com/UnitedWhiteFlagFollow Ramji Gulati on :Facebook - https://www.facebook.com/RamjiGulatiOfficialTwitter - https://twitter.com/ramjigulatiSound Cloud - https://soundcloud.com/ramjigulati","19.04.11","meri galti full video-ambili menon-hasnian-anshoor kaur-meri galti new song-sad song-new song 2019-meri galti ambili menon-tiktok-meri galti hasnain-ramji gulati-hindi songs-latest songs-bollywood songs-punjabi songs-hindi latest songs","5692359","504255","24242","29680","https://i.ytimg.com/vi/NCQlOXoc2v8/default.jpg","False","False"
"oGneAab3e88","Jai Jai Shivshankar Full Song | War | Hrithik Roshan, Tiger Shroff | Vishal & Shekhar, Vishal, Benny","2019-11-04T07:12:55.000Z","UCbTLwN10NoCU4WDzLf1JMOA","YRF","10","#YRFnewreleases: Kadi Kadi Song -  https://youtu.be/4ZA7ikhjSXY► Book your Tickets here 👇Book My Show: http://bit.ly/WarMovieTicketBookMyShowPaytm: http://bit.ly/WarMovieTicketPaytmHrithik Roshan and Tiger Shroff create magic, one move at a time in the celebratory song #JaiJaiShivshankar - full song OUT NOW.► Subscribe Now: https://goo.gl/xs3mrY 🔔 Stay updated!🎧 Song Credits:Song: Jai Jai ShivshankarSingers: Vishal Dadlani, Benny DayalMusic: Vishal and ShekharLyrics: KumaarRecording Studio: YRF Studios [Shantanu Hudilkar, Vijay Dayal, Chinmay Mestry, Abhishek Khandelwal, Manasi Tare]Mixed By: Vijay Dayal [YRF Studios]Mastered By: Donal Whelan [Mastering World, Wales - UK]Produced by: Abhijit NalaniAdditional Music Credits:Doitara Played by: Vishal DadlaniLive Rhythms and Percussions Arranged & Conducted by: Dipesh VarmaPercussions Performed by: Dipesh Varma, Keyur Barve, Omkar Salunkhe, Shikhar Naad Qureshi, Satyajit JamsandekarChorus: Umesh Joshi, Vijay Dhuri, Swapnil Godbole, Janardan Dhatrak, Varun Likhate, Yash Kulkarni, Pragati Joshi, Aditi PrabhudesaiChoreography: Bosco - CaesarStay in the filmy loop:► Like us on Facebook: https://facebook.com/yrf► Follow us on Twitter: https://twitter.com/yrf► Follow us on Instagram: http://instagram.com/yrf► Visit us on: https://www.yashrajfilms.com© Yash Raj Films Pvt. Ltd. 🎬 Movie Credits:Starring: Hrithik Roshan, Tiger Shroff, Vaani KapoorDirector: Siddharth AnandProducer: Aditya ChopraMusic: Vishal and ShekharLyrics: KumaarDirector of Photography: Benjamin JasperRelease Date: 2 October 2019 Synopsis:  India’s top agent Kabir (Hrithik Roshan) leads the Elite Shadow Unit of R&AW, a compact group of the crème de la crème of the armed forces who are personally trained by him and work with him on various high-risk missions across the world. Among Kabir and Colonel Luthra’s key targets are an international arms baron Rizwan Ilyasi who has been key in various acts of terrorism against the country. Khalid (Tiger Shroff) has fought his way up the ranks of the Indian armed forces. His greatest challenge and battle has been to fight against the sins of his father, once a decorated soldier working with Kabir who had turned a traitor. His ambition has been to join Kabir’s team to remove any stains on their family name. Kabir is not keen due to their past history, but Colonel Luthra requests him to, and gradually Kabir is also impressed by Khalid’s intense dedication and grit. Khalid becomes Kabir’s greatest soldier ever, flirting with death repeatedly in mission after mission as they go after the country’s enemies, including a mission against Rizwan Ilyasi that nearly kills Khalid. But Khalid’s greatest mission, his toughest yet, is still to come. When his own mentor Kabir turns rogue and starts to go after top officials and scientists and officers in the Indian establishment, targeting and executing them viciously across the world.  Colonel Luthra is unsure if Khalid has it in him to go after Kabir. Is he clever enough to hunt the man who trained him, and even if he does get him, does he have it in him to put a bullet in his hero’s head? Luthra advises Khalid against the mission but he insists – he is the best protégé and the only one who can track the mentor. And only Kabir can answer the crucial question – why did he turn rogue? A vicious cat and mouse game ensues as protégé goes after mentor in a war that spills across the globe. As the chase unravels both Kabir and Khalid begin to finally realize, what desperate stakes really drive them in this terrifying war.#YRFnewreleases #yrf #WAR​ #VaaniKapoor​ ​​​#SiddharthAnand #VishalDadlani​ ​#ShekharRavjiani​ #BennyDayal #Kumaar  ​#HrithikVsTiger #TeamHrithik","19.04.11","Hrithik Roshan-Tiger Shroff-War-Jai Jai Shivshankar Song-Jai Jai Shiv Shankar Song-Jai Jai Shivshankar Full Song-Jai Jai Shiv Shankar Full Song-Jay Jay Shivshankar Song-War Song-War Full Song-War Movie Song-New Song-New Movie Song-New Song 2019-War Full Movie-Songs 2019-New Hindi Song-Shiv Shankar Song-Hindi Songs-Tiger Shroff Songs-Hrithik Roshan Song-War Song Jai Jai Shiv Shankar-Songs of War Movie-War All Song-Vishal Dadlani Song","1794609","99557","1847","3825","https://i.ytimg.com/vi/oGneAab3e88/default.jpg","False","False"
"wHhUta4UAq0","Bigil - Bigil Bigil Bigiluma Video | Vijay, Nayanthara | A.R Rahman | Atlee","2019-11-01T09:30:04.000Z","UCTNtRdBAiZtHP9w7JinzfUg","SonyMusicSouthVEVO","10","The #Bigil Thara-local kuthu, you just can't take your eyes off, especially when it is the debonair #Thalapathy effortlessly grooving on screen! Presenting to you the official song video of #BigiluBigiluma from the blockbuster Bigil directed by #Atlee! A perfect celebratory number by #ARRahman , this one would leave you wanting to shake a leg with the stars out there!Hit play now for the official Tamil song video!Movie - BigilSong - Bigil Bigil BigilumaMusic - A.R. RahmanStarring - Vijay, Nayanthara, Jackie Shroff, Vivek, KathirDirected by AtleeDOP - G K Vishnu Edited by RubenProducer - Kalpathi S. AghoramBanner - AGS EntertainmentMusic Label - Sony Music Entertainment India Pvt. Ltd.© 2019 Sony Music Entertainment India Pvt. Ltd.Subscribe-YouTube- https-//www.youtube.com/c/SonyMusicSouthVEVO- https-//www.youtube.com/user/SonyMusicSouthVEVOLike us-Facebook- https-//www.facebook.com/SonyMusicSouthFollow us-Twitter- https-//twitter.com/SonyMusicSouthhttps-//www.instagram.com/sonymusic_south/","19.04.11","Sony Music South-Sony Music-Latest Tamil Songs-Tamil Trailers-Tamil Song Videos-Tamil HD Videos-2018 Tamil Songs-Tamil Cinema-Tamil cinema News-Bigil-Bigil Latest-Bigil Vijay-Bigil Movie-Bigil Records-Bigil Updates-Bigil Teaser-Bigil Trailer-Bigil Single Track-Bigil Songs-Bigil Album-Bigil Music-Bigil Audio-Vijay-Thalapathy-Vijay Updates-Vijay Movie-Singappenney-verithanam bigil song-Unakaaga-bigil jukebox-bigil","8216905","381020","15667","8665","https://i.ytimg.com/vi/wHhUta4UAq0/default.jpg","False","False"
"hCU_B_QKVR4","Mamangam Official Trailer - Mammootty | M Padmakumar | Venu Kunnappilly | Kavya Film Company","2019-11-02T10:51:12.000Z","UCnSqxrSfo1sK4WZ7nBpYW1Q","Lahari Music | T-Series","10","Presenting you the Official Trailer Of #Mamangam. Directed By M PadmakumarTrailer Cut: Don MaxDirected By : M PadmakumarProduced By : Venu KunnappillyAdapted Screenplay & Dialogues : Shankar RamakrishnanDOP : Manoj PillaiAction : Sham KaushalVFX : RC KamalakannanMusic : M JayachandranBackground Score : Sanchit Balhara & Ankit BalharaEditor : Raja MohammedProduction Designer : MohandasSound Design : PM Satheesh,  Manoj M GoswamiExecutive Producers : Vivek Ramadevan, Ayjo AntonyCostume : SB SatheesanMakeup : Roshan NGLyrics : Rafeeq Ahmed, Ajay GopalLine Producer : Meera ThalakotturProduction Controller : Dixon PoduthasFinance Controller : Gopakumar GKCo Directors : Siraj Kalla, K J Vinayan Asso Director : Ullas KrishnaProduction Cordinator : K Radhakrishnan Color by :  REDCHILLIES.COLORColorist : Ken MetzkerStills : Sreenath N UnnikrishnanDesign : OldmonksCastMammootty Unni Mukundan Prachi Tehlan Siddique AchuthanAnusitaraIniyaKanihaTarun AroraSuresh krishna ManikuttanSudev nairManikandan#MamangamTrailer, #Mammootty, #MamangamMalayalamMovieTrailer---------------      Enjoy & stay connected with us!!Subscribe to our Youtube Channel : http://bit.ly/1hE4KpSLike us on FB: https://goo.gl/hbfPfL Circle Us on G+ :  http://goo.gl/STQX0gFollow Us on Twitter : http://bit.ly/1sZimzM","19.04.11","mammootty-mamangam trailer-Mamangam Official Trailer-mamangam trailer malayalam-mamangam-mamangam movie songs-mammootty mamangam-anu sithara-unni mukundan-mamangam malayalam movie songs-mammootty new look-mamangam video songs-mammootty fight-mammootty mamangam fight-mammootty action-mammootty age-latest malayalam trailers 2019-anu sithara hot-Prachi Tehlan-Mamangam Official Teaser-mamangam teaser-mamangam release-mamangam review","3065197","205779","8429","23168","https://i.ytimg.com/vi/hCU_B_QKVR4/default.jpg","False","False"
"mBCE7oN3yd8","Dilpreet Dhillon | Rangle Dupatte (Full Video) | Sara Gurpal | Desi Crew Vol 1 | Latest Songs 2019","2019-11-04T04:30:09.000Z","UCOsyDsO5tIt-VZ1iwjdQmew","Speed Records","10","Watch the full video for 'Rangle Dupatte' by Dilpreet Dhillon featuring Sara Gurpal!Song - Rangle Dupatte (Official Video)Artist - Dilpreet Dhillon Ft Sara GurpalLyrics - Narinder BatthMusic - Desi CrewEdit / Grade - Jagjeet Singh DhanoaDC - Jatinder BrarDOP - Ashwani ThapparBackground Score - Apsy SinghProduction - Reel MakersAsst Dir - - Karan Sandhu / Johnty DhillonCostume - Sharuti JamalCo - Director - Saharn SandhuChief AD - Sahil Baghra MD - Armaan DhillonConcept / Screenplay & Direction - Mahi Sandhu & Joban SandhuA Film By - B2gether ProsLabel - Speed Records Stream / Download fromGaana - http://bit.ly/2C8jT1niTunes - https://apple.co/34vPUg7Apple Music - https://apple.co/2oOsymISpotify - https://spoti.fi/32dpEphGoogle Play Music - http://bit.ly/36xdD12Amazon Music - https://amzn.to/2r5FMvWJiosaavn - http://bit.ly/36wl5cUYoutube Music - http://bit.ly/34sWnrULike || Share || Spread || Love   Enjoy & stay connected with us!► Subscribe to Speed Records : http://bit.ly/SpeedRecords► Like us on Facebook: https://www.facebook.com/SpeedRecords► Follow us on Twitter: https://twitter.com/Speed_Records► Follow us on Instagram: https://instagram.com/speedrecords► Follow on Snapchat : https://www.snapchat.com/add/speedrecords  Speed Records HaryanviYoutube: https://bit.ly/2kSrhZKInstagram: https://www.instagram.com/speedharyanviofficial Rangle Dupate,Rangle Dupatte,Rangle Dupatte Dilpreet dhillon,Rangle Dupatte sara gurpal,rangle dupatte full,rangle dupatte dilpreet dhillon,dilpreet dhillon Rangle Dupatte,dilpreet dhillon new,dilpreet dhillon songs,sara gurpal songs,sara gurpal new,Rangle Dupatta,Rangle,Dupatte,Rangli Dupatte,RangleDupatte,punjabi bhangra,punjabi romantic songs,latest punjabi songs 2019,speed records,Hit punjabi song, angle dupatta,ang le dupatta, desi crew, desi crew new, desicrew,Speed Records Bhojpuri - Youtube: https://bit.ly/2y8HSezInstagram: https://bit.ly/2xM2WYLSnapchat: https://www.snapchat.com/add/speedbhojpuriOops TV -Oops TV Facebook Link - https://m.facebook.com/oopstvfun/Poon Poon - Snapchat - https://www.snapchat.com/add/poonpoon0001Youtube - http://bitly.com/2hwYOnxFacebook - https://www.facebook.com/officialpoonpoonInstagram - https://instagram.com/poonpoonofficial","19.04.11","Rangle Dupate-Rangle Dupatte-Rangle Dupatte Dilpreet dhillon-Rangle Dupatte sara gurpal-rangle dupatte full-rangle dupatte dilpreet dhillon-dilpreet dhillon Rangle Dupatte-dilpreet dhillon new-dilpreet dhillon songs-sara gurpal songs-sara gurpal new-Rangle Dupatta-Rangle-Dupatte-Rangli Dupatte-RangleDupatte-punjabi bhangra-punjabi romantic songs-latest punjabi songs 2019-Hit punjabi song-angle dupatta-ang le dupatta-desi crew-desi crew new-desicrew","2350876","114463","2247","2383","https://i.ytimg.com/vi/mBCE7oN3yd8/default.jpg","False","False"
"6uTM5ecVOxY","GEDI  (Official Video)  Kulbir Jhinjer ft Tarsem Jassar | New Song 2019 | Vehli Janta Records","2019-11-03T02:30:45.000Z","UCyXTmEh_ftszgyO3FTe4-jA","VehliJantaRecords","10","Vehli Janta Records & Manpreet Johal Presents New Song of Kulbir Jhinjer ft Tarsem JassarSong : GediSinger/Lyrics/Composer : Kulbir JhinjerFeaturing : Tarsem JassarMusic : Western PenduOnline Promotions - Gold MediaVideo : True Roots ProductionsDirector : Harry ChahalLabel : Vehli Janta RecordsProducer : Manpreet JohalProducer: MANPREET JOHAL                                                                        Insta: http://instagram.com/manpreetjohaloff...                                  Snapchat: https://www.snapchat.com/add/johal.ma...Stay Connected With Artist Social Media:Facebook: https://www.facebook.com/KulbirJhinjerMusic/Instagram: https://www.instagram.com/kulbirjhinjer/Snapchat: iKulbirjhinjerStay Connected with Vehli Janta Records:Youtube: http://bit.ly/2Ny1CTHFacebook: http://bit.ly/32aINJmInstagram: http://bit.ly/2NwWO0W","19.04.11","Latest-New-Songs-Music-Video-Audio-Full Song-Hit-Super Hit-Bets of 2015-best of 2016-Movie songs-full movie-singers-live-show-must watch-https://youtu.be/6uTM5ecVOxY","3137651","113670","2949","4205","https://i.ytimg.com/vi/6uTM5ecVOxY/default.jpg","False","False"
"CDuqrHYMqAA","Magical Bala || चमत्कारी बाला || Bala Movie Spoof || Nazarbattu","2019-11-03T11:35:36.000Z","UC1_-cyLlwnmTAesbMgruDpQ","Nazar Battu","23","'Magical Bala' is a spoof of upcoming bollywood film Bala. In this spoof Bala is a bald guywho has tried every possible remedy to grow his hair back but is faily badly. Being bald is so frustrating thatevery girl he dates is rejecting him leaving him lonely and dead from inside. But then a miracle happens whichturns bala into 'Magical Bala' which eventually takes him to his soulmate.  Follow us on :- YouTube :- http://bit.ly/NazarBattuFacebook :- https://www.facebook.com/battunazar/?...Twitter :- https://www.twitter.com/nazar_battuInsta :- https://www.instagram.com/nazarbattuproductionsWritten and Directed by - Yash-GyanendraDOP – Muzzamil Hayaat, Priyanshu VatsEditing and Background Score - SarfaraazArt Director – Shreya Asrani/ Muzammil HayaatGraphics and Colour Grade - Sarfraz ZuberProject Head - Harsh Gautam/ Ameen KhanProduction Support – Shiva SinghCamera Assistant - Jeetu TiwariThumbnail Design -Muzammil HayaatCastDinesh SinghGyanendra mauryaYash Vardhan SinghShreya AsraniMohini VarshneyDeep KaurShiva SinghMonuSarfrazArshad KhanAnurag ShuklaSarfarazHarsh GautamJeetendraShashankNikesh SinghLoveySachin RaghavRajnish Abhishek GaurYuvraajMrs DubeyAnd All Thanks to Supporting Artist..  Owned ,Operated and Managed by Nazarbattu Production Pvt. Ltd","19.04.11","nazar battu-Magical Bala-चमत्कारी बाला-Bala Movie Spoof-Nazarbattu Productions-Pawan Yadav-Takla-Ganja-Bald-Hair loss-Ayushmaan Khurana-Shaitan Ka Sala-Akshay-Hausefull 4-Dinesh Sing-new Video-Trending Now-Dont Be Shy-Ujda Chaman-Twinkle Song-Devta-Remedies-bala ki talvar","946455","63325","1641","2461","https://i.ytimg.com/vi/CDuqrHYMqAA/default.jpg","False","False"
"BH4a8e7cbFY","ROJA Serial | Episode 473 | 4th Nov 2019 | Priyanka | SibbuSuryan | SunTV Serial |Saregama TVShows","2019-11-04T14:15:01.000Z","UCtrovMbRR6h_XLMfdbhqb1A","Saregama TV Shows Tamil","24","Watch today episode of Roja Serial:SUBSCRIBE to Saregama TV Shows Tamil Channel and Don't forget to switch ON your notification for all the upcoming serial episode updates.Watch the Roja serial episode telecast exclusively only on SunTV.Crew:Cast – Priyanka, SibbuSuryan, Rajesh, Vadivukarasi, Gayathri, Shiva, Venkat, Smriti, Kavithalaya Krishnan, Shanthi Anand, Viveen, Devanand, Ramya,  K. Natraj, Dr. Sharmila, Manohar, Sowmiya, Sathish, Shamili, Girish, Suseendhar, Shoba Rani, Swetha, Ansari, Dubbing Janaki, SVS Kumar, Anand, Ganesh, Sumathi Shree.Director – V. SadhasivamSenior Vice President – B.R. VijayalakshmiCreative Head – PrinceCameraman – Parthiba KrishnaStory – SaregamaScreenplay – V. PadmavathyDialogue - Guru SampathMusic - RaviragavLyricist -  Arun BharathyTitle Song Singer - M.M. ManasiEditor - K. ShankarCreative Team - K. ShanmugamFor More Latest Updates:Subscribe to: http://www.youtube.com/saregamatvshowstamilFollow us on: https://twitter.com/saregamaglobalLike us on: https://www.facebook.com/saregamaVisit our website: http://www.saregama.com#RojaSerial #SaregamaTvshowsTamil #SunTVSerials","19.04.11","Roja serial today-Roja episode today-saregamatvshowstamil-saregama tvshows tamil-saregama tamil tvshows-Roja serial episodes-suntv serial roja-roja suntv serial today-roja tamil tv serial-roja episodes daily-arjun and roja returned house-sun tv serial roja serial today episode-roja episode today-today roja episode-today roja episode sun tv-roja serial today-Roja episode 473-Roja 4th Nov episode-Roja full episode-Roja full episiodes","1254176","16713","1501","1060","https://i.ytimg.com/vi/BH4a8e7cbFY/default.jpg","False","False"
